,title,title_label,desc,desc_label
0, 전자 랜드 온오프라인 동시 가정의달 경품 이벤트 진행,0,행사 기간 전자 랜드는 공식 온라인 쇼핑몰 프로모션 페이지 내의 우리집 행운 찾기 이벤트에 참여한 고객 중 추첨을 통해 전자 의류관리기 명다이슨 청소기 명 삼성전자 큐브 냉장고 명갤럭시 탭 명 ,0
1,과기정통부 카이스트 년 역사를 빛내는 대 총장에 이광형 단독기 ,1,이어 일 과학기술정보통신부 등에 따르면 는 이날 오전 이사회를 열고 제 대 총장 선출을 위한 표결에 들어간다 며 이 부총장은 인공지능 반도체 전문가로 삼성전자 산학협력센터장을 맡고 있는 김정호 ,0
2, 삼성 중공업발 재무 위험그룹에 전이 되나,0,사진연합뉴스 삼성 중공업 살리기에 삼성전자 와 삼성 생명 등 계열사의 자본투입이 불가피하게 됐다 삼성 중공업 재무부실이 부분잠식 단계에 이르러 부실이 전이될 위험이 제기된 상태다 수주잔고가 양호하고 ,0
3, 창업주 다닌 초교 소재지 진주시도 이건희 미술관 유치전 가세,0, 문화민주주의 구현하려면 남부권 중심지인 진주가 최적지 경남 진주시는 고 이건희 삼성전자 회장이 기증한 만 천여 점의 미술 소장품을 전시할 공간 일명 이건희 미술관 유치에 나서기로 했다고 일 밝혔다 ,0
4,수그러들지 않은 이재용 사면론 김부겸 경제계 의견 대통령에 전달 ,0,이재용 삼성전자 부회장 천지일보 경제단체 이어 내부 사면론 제기 청와대는 검토한 적 없다 선 긋기 반도체 패권전쟁 심화시 또 제기될듯 천지일보명승일 기자 여권 내부에서 이재용 삼성전자 부회장의 ,0
5,김부겸 이재용 사면 경제계 의견 사면권자인 대통령에 전달할 것 ,0,사진 연합 제공 김부겸 국무총리 후보자는 일 이재용 삼성전자 부회장에 대한 사면에 대해 총리에 취임한다면 경제계를 만나 상황 인식을 잘 정리해 대통령께 전달하겠다 고 밝혔다 김 총리 후보자는 이날 국회에서 ,0
6, 속 가 최적화 공간 사운드 찾아드립니다 ,0, 일 파이낸셜뉴스가 삼성전자 수원사업장에서 만난 영상디스플레이사업부 개발팀 사운드랩은 올해 출시된 신제품 네오 에서 음향 기술을 업그레이드한 주역이다 김종배 수석은 브라운관 에서 평판 ,0
7,인텔 대규모 투자 본격화 삼성 반격카드에 이목 집중,0, 삼성전자 반도체 생산라인에서 한 엔지니어가 설계 모니터를 살펴보고 있다 사진 삼성전자 글로벌 반도체 패권경쟁이 본격화되면서 미국 인텔과 대만 가 공격적 투자를 단행해 반도체 시장이 술렁이고 있다 ,0
8,홍남기 반도체 시설투자 세액공제 확대 검토 ,0,한편 회의에는 최창식 하이텍 부회장 허염 실리콘마이터스 대표 김형준 차세대 지능형반도체 사업단장 나준호 실리콘웍스 전무 이장규 텔레칩스 대표 박용근 하이닉스 부사장 심상필 삼성전자 ,0
9,이건희 컬렉션연고성 무기로 유치전 치고 나가는 수원시,0,김 의원은 최근 미술관 건축을 추진하는 황희 문화체육관광부 장관을 만나 수원이 최적지임을 강조하기도 했다 김 의원은 이건희 미술관은고인이 잠들어 계시고 또 수십년간 삼성전자 와 함께 발전해온 나아가 ,0
10,김부겸 부동산 정책 일관성 필요 이재용 부회장 사면은 대통령 권한,0,이재용 삼성전자 부회장 사면에 대해선 경제계의 의견을 듣고 대통령에게 전달하겠다고 밝혔다 일 오전 국회에서 열린 인사청문회에서 김 후보자는 부동산 정책과 이 부회장 사면론 등에 대한 입장을 내놨다 이은주 ,0
11,국제 삼성전자 폴란드 이통사와 시범 운영 유럽 입지 확장 ,1, 삼성전자 가 폴란드 이동통신사 플레이와 세대 이동통신 솔루션을 테스트한다 폴란드를 비롯한 유럽에서 망에 화웨이 배제를 공표한 가운데 삼성전자 네트워크 장비 추가 수주 가능성이 높아졌다는 ,0
12,이재용 삼성 생명 최대주주 적격성 심사받는다,0,이재용 삼성전자 부회장이 삼성 생명 대주주인 삼성 물산의 최대주주로서 금융당국의 적격성 심사를 주기적으로 받게 됐다 일 금융당국에 따르면 금융감독원은 현재 이 부회장에 대한 삼성 생명 최대주주 적격성 심사를 ,0
13, 프로젝트 지배구조 개선 아이디어 이재용 재판 증언,0,이재용 삼성전자 부회장의 승계를 목적으로 작성된 게 아니라는 취지의 증언이다 서울중앙지법 형사합의 부부장판사 박정제 박사랑 권성수는 일 자본시장법과 금융투자업에 관한 법률 위반 등 혐의로 기소된 이 ,0
14, 삼성 오너들의 상속구도는 삼성전자 지배력 유지에 최선책,0,고 이건희 회장의 보유 지분 정리 투자증권은 일 이재용 삼성전자 부회장 등 삼성 오너들이 최근 이건희 전 삼성 그룹 회장의 지분을 상속한 방법이 삼성전자 지배력 유지에 가장 적합한 것으로 분석했다 김장원 ,0
15,김부겸 청문회 청년부동산 정책 약속의혹에는 사과,0,다만 그는 이은주 정의당 의원이 고 이건희 삼성전자 회장에 이은 세습 사면이라는 지적에 당연히 공정하다고 보지 않는다 고 강조했다 김 후보자는 이명박박근혜 전 대통령 특별사면 요구와 관련 문재인 대통령이 ,0
16,이재용 년 주기 삼성 생명 최대주주 적격성 심사 받는다,0,이재용 삼성전자 부회장이 삼성 생명 대주주인 삼성 물산의 최대주주로서 금융당국의 적격성 심사를 주기적으로 받게 됐다 일 금융당국에 따르면 금융감독원은 현재 이 부회장에 대한 삼성 생명 최대주주 적격성 심사를 ,0
17,김윤덕 의원 전직 대통령 사면 시기상조,0,이재용 삼성전자 부회장의 사면논의와 관련해서도 과거부터 우리 경제계는 지은 죄에 비해 가벼운 형사처벌로 끝났고 그 처벌마저도 제대로 이루어지지 않았다 며 이러한 관행이 계속해서 이어지고 있다 고 지적했다 ,0
18, 삼성전자 속도 높이고 면적 줄인 차세대 반도체 패키지 기술 개발,0,퍼블릭뉴스 백성요 기자 삼성전자 가 전송 속도는 높이고 패키지 면적은 줄인 반도체 패키지 기술 를 개발했다 삼성전자 는 로직 칩과 개의 칩을 하나의 ,0
19,특징주칩스앤미디어 주가 급등 삼성전자 파운드리 공정 검증,0,칩스앤미디어 주가 급등 삼성전자 파운드리 공정 검증 칩스앤미디어 주가가 가파른 상승세다 일 오후 시 분 기준 칩스앤미디어는 전일대비 오른 만 원에 거래 중이다 이날사이파이브는 삼성 ,0
20, 삼성전자 차세대 반도체 패키지 기술 개발,0, 삼성전자 가 로직 칩과 개의 고대역폭 메모리 칩을 하나의 패키지로 구현한 독자 구조의 패키지 기술 를 개발했다 는 고대역폭 데이터 전송과 고성능 시스템 반도체를 ,0
21,특징주텔레칩스 주가 삼성전자 완성차 업계 지원에 강세,0,텔레칩스 주가 삼성전자 완성차 업계 지원에 강세 텔레칩스 주가가 가파른 상승세다 일 오후 시 분 기준 텔레칩스는 전일대비 오른 만 원에 사고팔리고 있다 국내 반도체 설계전문업체팹리스 ,0
22, 삼성 증권 직원 이재용 재판서 증언 총수 지배력 약화 가능성 검토 ,0,이투데이나경연 기자 연합뉴스 삼성 물산 불법 합병 의혹 등으로 재판에 넘겨진 이재용 삼성전자 부회장의 공판에서 전 삼성 증권 직원에 대한 첫 증인 신문이 진행됐다 서울중앙지법 형사합의 부재판장 박정제 ,0
23,패키지 기술이 반도체 경쟁력 삼성전자 아이큐브 개발,0, 삼성전자 가 중앙처리장치 와 메모리반도체를 묶어 하나의 반도체처럼 작동하게 하는 반도체 패키지 신기술을 공개했다 반도체 패키지 기술은 파운드리 분야에서 미래 경쟁력을 좌우할 정도로 중요성이 높아지고 ,0
24,애플도 폴더블폰 출시차기 갤럭시 경쟁력에 쏠리는 관심,1,듀얼 카메라가 장착 된 갤럭시 플립 예상 이미지 렛츠고디지털 삼성전자 는 올해 폴더블폰 대중화를 목표로 오는 월 신제품인 가칭 갤럭시 폴드 갤럭시 플립 출시를 앞두고 있다 이런 가운데 최대 경쟁사인 ,0
25,오늘의 정치뉴스 월 일목 석간 리뷰,0,김부겸 국무총리 후보자 인사청문회 오전 질의는 코로나 확산에 따른 정부의 백신 접종 계획 부동산 시장 안정화 방안 전직 두 대통령 및 이재용 삼성전자 부회장 사면 등에 대한 내용이 주를 이뤘습니다 이에 대해 ,0
26,산업 이모저모 삼성 차세대 반도체 패키지 기술 개발전송 속도 ,0, 삼성전자 가 복수의 칩을 개의 패키지 안에 배치해 전송 속도는 높이고 패키지 면적은 줄이는차세대 반도체 패키지 기술을 개발했습니다 향후 빅데이터클라우드 등 혁신 서비스에 폭넓게 활용될 것으로 ,0
27, 삼성전자 차세대 반도체 패키지 기술 개발,0, 삼성전자가 선보인 차세대 반도체 패키지 기술 삼성전자 삼성전자 는 로직 칩과 개의 고대역폭 메모리 칩을 하나의 패키지로 구현한 독자 구조의 패키지 기술 를 개발했다고 일 밝혔다 ,0
28, 삼성 버즈 프로 사용 후 외이도염 증상 호소하는 소비자 급증,0, 삼성 갤럭시 버즈 프로 사진 삼성전자 삼성 버즈 프로 사용 후 외이도염 증상을 호소하고 있는 소비자들이 늘어나고 있다 버즈 프로를 구매한 누리꾼들은 해당 제품 사용 후 귀에서 진물이 나오고 붓는 증상이 ,0
29,법정서 공개된 프로젝트 문건 승계 목적은 아냐,0,이재용 삼성전자 부회장의 승계목적을 위해 만들어진 것으로 알려진 프로젝트 문건이 법정에서 공개됐다 이날 재판에서는 승계를 위한 그룹차원의 합병이라는 점을 강조하려는 검찰과 지배구조에 관한 전체적 ,0
30, 프로젝트 는 삼성 지배구조 개선 아이디어 보고서 ,0,부당합병 의혹 이재용 일 두번째 정식재판 전 삼성 증권 팀장 증언대 현안 대응 문건 조현미 기자 이재용 삼성전자 부회장이 지난해 월 일 서울 서초구 서초동 서울고등법원에서 열리는 국정농단 ,0
31, 공모주 진시스템삼영 상장 후 성장 계획은,1, 삼성전자 전자 포드자동차 등이 주요 고객사다 삼영 는 스마트 센싱 솔루션 을 넘어 기반 지능형 인델리전트 센싱 솔루션 공급업체로서 환경센서 분야의 ,0
32, 삼성전자 차세대 반도체 패키지 기술 개발,0, 삼성전자 는 로직 칩과 개의 고대역폭 메모리 칩을 하나의 패키지로 구현한 독자 구조의 패키지 기술 를 개발했다고 일 밝혔다 해당 기술은 실리콘 인터포저 위에 등의 ,0
