,Unnamed: 0,name,region,address,phone,위도,경도
0,0,영등포구청역점,서울,서울특별시 영등포구 당산로30길 7,02-2677-7749,37.525637553,126.897605421
1,1,용인성복점,경기,경기도 용인시 수지구 성복2로 114,031-898-0695,37.315888097,127.073565345
2,2,대구평리점,대구,대구광역시 서구 국채보상로 197,053-554-5794,35.870223269,128.552491015
3,3,하남감일점,경기,"경기도 하남시 감일순환로 35-1, 2층",02-477-3542,37.509516462,127.161313571
4,4,위례창곡점,경기,"경기도 성남시 수정구 창곡동 513, 203호",031-755-1471,0,0
5,5,대전신성점,대전,"대전광역시 유성구 신성로 97, 1층",042-863-4111,36.39170378,127.350126816
6,6,대구한의대점,경북,"경상북도 경산시 한의대로1, 대구한의대M동 9호관 B1",053-811-4776,35.797502716,128.777419873
7,7,광주풍향점,광주,광주시 북구 군왕로 1,062-515-5045,35.162696698,126.928383692
8,8,울산자수정점,울산,"울산광역시 울주군 삼남면 자수정로 23, 1층",052-263-0077,0,0
9,9,매봉역점,서울,서울 강남구 남부순환로 2732,02-576-2211,37.485776153,127.044857754
10,10,광주학동점,광주,광주광역시 동구 의재로 46,062-236-1289,35.13234737,126.932523121
11,11,벡스코점,부산,부산광역시 해운대구 센텀남대로50 103호,051-746-8123,35.168108832,129.131301276
12,12,목포옥암점,전남,전남 목포시 옥암동 1345-7,061-283-6100,0,0
13,13,서초중앙로점,서울,"서울특별시 서초구 서초중앙로 230, 2층",02-596-1278,37.50216558,127.012022032
14,14,울주언양점,울산,"울산광역시 울주군 언양읍 헌양길 157, 1층",052-254-9987,35.566657924,129.117945609
15,15,연산과정교차로점,부산,"부산광역시 연제구 반송로 89, 1층 3호",051-791-1977,35.19150809,129.088268592
16,16,전북임실점,전북,전라북도 임실군 임실읍 운수로 50,063-644-1313,35.612821812,127.285132611
17,17,마곡나루역점,서울,"서울특별시 강서구 마곡서로 170 ,1층 108호",02-6737-0022,37.569283801,126.825723314
18,18,양주광적점,경기,경기도 양주시 광적면 가래비12길 11-15,031-864-5353,37.826450634,126.983507843
19,19,둔촌동역점,서울,서울특별시 강동구 양재대로 1319,02-474-0012,37.524189693,127.134441549
20,20,논현아이파크점,서울,"서울특별시 강남구 언주로 615, 103동 117호 ",02-511-4616,37.510367122,127.035825657
21,21,이천증포점,경기,경기도 이천시 이섭대천로 1376,031-632-1106,37.290714342,127.454788213
22,22,삼각지역점,서울,"서울특별시 용산구 한강대로 205, 1층",02-794-6888,37.536636903,126.972856206
23,23,양천향교역점,서울,서울시 강서구 강서로 447 경동미르웰플러스 1층,02-3665-2662,37.565517145,126.840040393
24,24,통영도남점,경남,"경상남도 통영시 도남로 270, 1층",055-648-8847,34.827506087,128.432594022
25,25,삼성중앙역점,서울,서울특별시 강남구 봉은사로 471,02-3445-4466,37.512731458,127.051252663
26,26,횡성둔내점,강원,강원 횡성군 둔내면 고원로 404,033-342-0202,37.497453059,128.239117928
27,27,김해율하2지구점,경남,"경상남도 김해시 율하6로 62, 1층",055-335-8801,35.172402395,128.823507897
28,28,강동고덕점,서울,서울특별시 강동구 동남로81길 76,02-481-7772,37.559163902,127.152772086
29,29,군산새만금산단점,전북,전라북도 군산시 새만금북로 424,063-465-5533,35.946855644,126.582707016
30,30,월계역점,서울,"서울특별시 노원구 초안산로2라길 26, 107호 ( 지번: 서울특별시 노원구 월계동 635-6 , 107호)",02-900-7111,37.630004215,127.05667095
31,31,경기광주능평점,경기,경기도 광주시 오포읍 오포로 116,031-766-1200,37.343714918,127.179035923
32,32,신도림테크노마트점,서울,"서울시 구로구 새말로 97, 신도림테크노마트 10층13호",02-2111-8200,37.506951888,126.890239975
33,33,정선하이원점,강원,강원도 정선군 고한읍 하이원길 500,033-591-8823,37.204054359,128.83886413
34,34,나주남평점,전남,"전라남도 나주시 남평읍 강변2길 27-1, 102호",061-331-7707,35.041397227,126.851873313
35,35,대전모다아울렛점,대전,"대전광역시 유성구 대정로5, 지상2층",042-541-8824,36.318886209,127.306424038
36,36,석촌역점,서울,서울특별시 송파구 송파대로 415,02-415-3232,37.503936481,127.107885803
37,37,김포걸포점,경기,경기 김포시 걸포2로 49,031-998-5559,37.634614157,126.702545674
38,38,이천마장점,경기,경기도 이천시 마장면 중앙로 92,031-633-2633,37.249771903,127.357350762
39,39,화천산양점,강원,강원도 화천군 상서면 영서로 7737,033-441-9298,38.209195145,127.662723303
40,40,노화보길점,전남,전라남도 완도군 노화읍 노화로 831,061-555-4335,34.176752308,126.573806864
41,41,송도센트럴파크점,인천,"인천광역시 연수구 센트럴로 160, 1층",032-831-3939,37.393154635,126.642838139
42,42,신대방삼거리역점,서울,"서울시 동작구 보라매로 113, 2층",02-812-6469,37.499451206,126.927907906
43,43,창원소답점,경남,경남 창원시 의창구 읍성로 57 1층,055-253-3525,35.265137574,128.624363713
44,44,서대문역점,서울,서울특별시 서대문구 통일로 105,02-365-0666,37.564334604,126.967585424
45,45,광주하남2지구점,광주,광주 광산구 용아로379번길 45,062-953-7177,35.176470628,126.801837749
46,46,남양주장현점,경기,경기도 남양주시 진접읍 장현로 47번길 6-9,031-571-9996,0,0
47,47,익산영등학원가점,전북,전라북도 익산시 영등동 750-1,063-842-5622,0,0
48,48,오산세교점,경기,"경기도 오산시 수청로 197, 2층",031-3787-666,37.176515998,127.045077041
49,49,가양역점,서울,"서울특별시 강서구 등촌동 75-9, 111-1호, 2호",02-3663-5185,0,0
50,50,동대문현대시티점,서울,서울특별시 중구 장충단로13길 20,02-2283-2185,37.56870764,127.007653116
51,51,스타필드안성점,경기,"경기도 안성시 공도읍 서동대로 3980, 스타필드 3층", 031-8092-1838,0,0
52,52,의정부용현점,경기,"경기도 의정부시 용민로 64 103,104호",031-853-8253,37.736768364,127.085606557
53,53,가산센트럴점,서울,서울특별시 금천구 디지털로10길 69 가산센트럴푸르지오,02-855-7776,37.475401126,126.890776979
54,54,태전중앙로점,경기,경기도 광주시 태전중앙로 20,031-766-6200,37.381583754,127.230383603
55,55,일광신도시점,부산,부산광역시 기장군 일광면 해빛로 13 제일프라자 101호,051-722-8003,35.266185316,129.226430804
56,56,중앙대점,서울,서울시 동작구 흑석로 99,02-3280-3999,37.507687115,126.960469768
